2 0.000000
3 0.000005
4 0.000011
5 0.000050
6 0.000053
7 0.000941
8 0.000095
9 0.001359
10 0.001564
11 0.001275
12 0.003372
13 0.004144
14 0.013048
15 0.042233
16 0.007038
17 0.035768
18 0.005479
19 0.005456
20 0.042556
21 0.197216
22 0.017595
23 0.384981
24 0.018487
25 0.029860
26 0.117740
27 0.076596
28 0.356910
29 0.144360
30 0.109323
31 0.332089
32 0.102578
33 1.297978
34 0.171878
35 0.657556
36 0.511495
37 1.362822
38 1.465079
39 0.427071
40 1.675447
41 0.086241
42 0.094525
43 0.224804
44 0.520728
45 1.697187
46 2.471630
47 1.094736
48 0.338433
49 2.976285
50 3.198975
51 1.330675
52 3.563873
53 3.767454
54 1.527161
55 4.173824
56 4.436557
57 4.670137
58 2.024837
59 5.155196
60 5.572803
61 5.674102
62 2.758005
63 4.410745
64 5.276639
65 7.395676
66 4.076502
67 5.931249
68 1.687563
69 2.446099
70 8.663968
71 6.093450
72 9.515243
73 9.809841
74 10.185717
75 10.549034
76 11.130102
77 11.792355
78 11.873339
79 11.142715
80 4.124004
81 13.450043
82 13.769615
83 15.333262
84 14.923459
85 15.343193
86 15.821719
87 17.638198
88 8.135377
89 18.919609
90 19.422222
91 10.437726
92 20.321457
93 19.891154
94 20.535380
95 21.227400
96 22.105350
97 19.554901
98 17.616064
99 26.969886
100 28.760212
101 29.681246
102 24.579525
103 13.318065
104 28.590021
105 29.486013
106 30.469478
